# time = 4.000000000000000e-02# start, end, pivot, particles, density
0.00000e+00, 1.45142e-05, 7.25710e-06, 0.00000e+00, 0.00000e+00
1.45142e-05, 3.04798e-05, 2.24970e-05, 0.00000e+00, 0.00000e+00
3.04798e-05, 4.80420e-05, 3.92609e-05, 0.00000e+00, 0.00000e+00
4.80420e-05, 6.73604e-05, 5.77012e-05, 0.00000e+00, 0.00000e+00
6.73604e-05, 8.86106e-05, 7.79855e-05, 0.00000e+00, 0.00000e+00
8.86106e-05, 1.11986e-04, 1.00298e-04, 0.00000e+00, 0.00000e+00
1.11986e-04, 1.37699e-04, 1.24842e-04, 0.00000e+00, 0.00000e+00
1.37699e-04, 1.65983e-04, 1.51841e-04, 0.00000e+00, 0.00000e+00
1.65983e-04, 1.97095e-04, 1.81539e-04, 0.00000e+00, 0.00000e+00
1.97095e-04, 2.31319e-04, 2.14207e-04, 0.00000e+00, 0.00000e+00
2.31319e-04, 2.68965e-04, 2.50142e-04, 0.00000e+00, 0.00000e+00
2.68965e-04, 3.10376e-04, 2.89670e-04, 0.00000e+00, 0.00000e+00
3.10376e-04, 3.55927e-04, 3.33152e-04, 0.00000e+00, 0.00000e+00
3.55927e-04, 4.06034e-04, 3.80981e-04, 0.00000e+00, 0.00000e+00
4.06034e-04, 4.61152e-04, 4.33593e-04, 0.00000e+00, 0.00000e+00
4.61152e-04, 5.21781e-04, 4.91467e-04, 0.00000e+00, 0.00000e+00
5.21781e-04, 5.88474e-04, 5.55128e-04, 0.00000e+00, 0.00000e+00
5.88474e-04, 6.61835e-04, 6.25155e-04, 0.00000e+00, 0.00000e+00
6.61835e-04, 7.42533e-04, 7.02184e-04, 0.00000e+00, 0.00000e+00
7.42533e-04, 8.31301e-04, 7.86917e-04, 0.00000e+00, 0.00000e+00
8.31301e-04, 9.28945e-04, 8.80123e-04, 0.00000e+00, 0.00000e+00
9.28945e-04, 1.03635e-03, 9.82649e-04, 0.00000e+00, 0.00000e+00
1.03635e-03, 1.15450e-03, 1.09543e-03, 0.00000e+00, 0.00000e+00
1.15450e-03, 1.28447e-03, 1.21949e-03, 0.00000e+00, 0.00000e+00
1.28447e-03, 1.42743e-03, 1.35595e-03, 0.00000e+00, 0.00000e+00
1.42743e-03, 1.58469e-03, 1.50606e-03, 0.00000e+00, 0.00000e+00
1.58469e-03, 1.75767e-03, 1.67118e-03, 0.00000e+00, 0.00000e+00
1.75767e-03, 1.94795e-03, 1.85281e-03, 0.00000e+00, 0.00000e+00
1.94795e-03, 2.15726e-03, 2.05260e-03, 0.00000e+00, 0.00000e+00
2.15726e-03, 2.38750e-03, 2.27238e-03, 0.00000e+00, 0.00000e+00
2.38750e-03, 2.64076e-03, 2.51413e-03, 0.00000e+00, 0.00000e+00
2.64076e-03, 2.91935e-03, 2.78006e-03, 0.00000e+00, 0.00000e+00
2.91935e-03, 3.22580e-03, 3.07258e-03, 0.00000e+00, 0.00000e+00
3.22580e-03, 3.56290e-03, 3.39435e-03, 0.00000e+00, 0.00000e+00
3.56290e-03, 3.93370e-03, 3.74830e-03, 0.00000e+00, 0.00000e+00
3.93370e-03, 4.34159e-03, 4.13764e-03, 0.00000e+00, 0.00000e+00
4.34159e-03, 4.79026e-03, 4.56592e-03, 0.00000e+00, 0.00000e+00
4.79026e-03, 5.28380e-03, 5.03703e-03, 0.00000e+00, 0.00000e+00
5.28380e-03, 5.82669e-03, 5.55524e-03, 0.00000e+00, 0.00000e+00
5.82669e-03, 6.42388e-03, 6.12528e-03, 0.00000e+00, 0.00000e+00
6.42388e-03, 7.08078e-03, 6.75233e-03, 0.00000e+00, 0.00000e+00
7.08078e-03, 7.80337e-03, 7.44207e-03, 0.00000e+00, 0.00000e+00
7.80337e-03, 8.59822e-03, 8.20079e-03, 0.00000e+00, 0.00000e+00
8.59822e-03, 9.47256e-03, 9.03539e-03, 0.00000e+00, 0.00000e+00
9.47256e-03, 1.04343e-02, 9.95344e-03, 0.00000e+00, 0.00000e+00
1.04343e-02, 1.14923e-02, 1.09633e-02, 0.00000e+00, 0.00000e+00
1.14923e-02, 1.26560e-02, 1.20741e-02, 0.00000e+00, 0.00000e+00
1.26560e-02, 1.39361e-02, 1.32961e-02, 0.00000e+00, 0.00000e+00
1.39361e-02, 1.53443e-02, 1.46402e-02, 0.00000e+00, 0.00000e+00
1.53443e-02, 1.68932e-02, 1.61187e-02, 0.00000e+00, 0.00000e+00
1.68932e-02, 1.85970e-02, 1.77451e-02, 0.00000e+00, 0.00000e+00
1.85970e-02, 2.04712e-02, 1.95341e-02, 0.00000e+00, 0.00000e+00
2.04712e-02, 2.25329e-02, 2.15021e-02, 0.00000e+00, 0.00000e+00
2.25329e-02, 2.48007e-02, 2.36668e-02, 0.00000e+00, 0.00000e+00
2.48007e-02, 2.72953e-02, 2.60480e-02, 2.19703e-06, 8.80720e-04
2.72953e-02, 3.00393e-02, 2.86673e-02, 1.08219e-05, 3.94376e-03
3.00393e-02, 3.30578e-02, 3.15485e-02, 2.46373e-05, 8.16225e-03
3.30578e-02, 3.63781e-02, 3.47179e-02, 4.58259e-05, 1.38018e-02
3.63781e-02, 4.00304e-02, 3.82042e-02, 7.73455e-05, 2.11771e-02
4.00304e-02, 4.40479e-02, 4.20391e-02, 1.23174e-04, 3.06591e-02
4.40479e-02, 4.84672e-02, 4.62576e-02, 1.88625e-04, 4.26820e-02
4.84672e-02, 5.33285e-02, 5.08978e-02, 2.80740e-04, 5.77507e-02
5.33285e-02, 5.86758e-02, 5.60021e-02, 4.08794e-04, 7.64479e-02
5.86758e-02, 6.45579e-02, 6.16169e-02, 5.84913e-04, 9.94395e-02
6.45579e-02, 7.10282e-02, 6.77931e-02, 8.24831e-04, 1.27479e-01
7.10282e-02, 7.81456e-02, 7.45869e-02, 1.14881e-03, 1.61410e-01
7.81456e-02, 8.59746e-02, 8.20601e-02, 1.58272e-03, 2.02159e-01
8.59746e-02, 9.45866e-02, 9.02806e-02, 2.15927e-03, 2.50729e-01
9.45866e-02, 1.04060e-01, 9.93232e-02, 2.91942e-03, 3.08178e-01
1.04060e-01, 1.14480e-01, 1.09270e-01, 3.91379e-03, 3.75586e-01
1.14480e-01, 1.25943e-01, 1.20212e-01, 5.20407e-03, 4.54007e-01
1.25943e-01, 1.38552e-01, 1.32247e-01, 6.86418e-03, 5.44396e-01
1.38552e-01, 1.52421e-01, 1.45486e-01, 8.98078e-03, 6.47512e-01
1.52421e-01, 1.67678e-01, 1.60050e-01, 1.16528e-02, 7.63784e-01
1.67678e-01, 1.84460e-01, 1.76069e-01, 1.49890e-02, 8.93140e-01
1.84460e-01, 2.02921e-01, 1.93691e-01, 1.91028e-02, 1.03479e+00
2.02921e-01, 2.23227e-01, 2.13074e-01, 2.41035e-02, 1.18698e+00
2.23227e-01, 2.45565e-01, 2.34396e-01, 3.00807e-02, 1.34666e+00
2.45565e-01, 2.70136e-01, 2.57850e-01, 3.70825e-02, 1.50920e+00
2.70136e-01, 2.97164e-01, 2.83650e-01, 4.50837e-02, 1.66803e+00
2.97164e-01, 3.26895e-01, 3.12029e-01, 5.39438e-02, 1.81440e+00
3.26895e-01, 3.59599e-01, 3.43247e-01, 6.33558e-02, 1.93725e+00
3.59599e-01, 3.95573e-01, 3.77586e-01, 7.27887e-02, 2.02335e+00
3.95573e-01, 4.35145e-01, 4.15359e-01, 8.14349e-02, 2.05790e+00
4.35145e-01, 4.78674e-01, 4.56909e-01, 8.81833e-02, 2.02585e+00
4.78674e-01, 5.26556e-01, 5.02615e-01, 9.16513e-02, 1.91411e+00
5.26556e-01, 5.79226e-01, 5.52891e-01, 9.03313e-02, 1.71504e+00
5.79226e-01, 6.37163e-01, 6.08194e-01, 8.29191e-02, 1.43119e+00
6.37163e-01, 7.00894e-01, 6.69028e-01, 6.88903e-02, 1.08096e+00
7.00894e-01, 7.70997e-01, 7.35945e-01, 4.93225e-02, 7.03564e-01
7.70997e-01, 8.48112e-01, 8.09555e-01, 2.77333e-02, 3.59640e-01
8.48112e-01, 9.32937e-01, 8.90524e-01, 1.00951e-02, 1.19010e-01
9.32937e-01, 1.02625e+00, 9.79591e-01, 1.77751e-03, 1.90498e-02
1.02625e+00, 1.12888e+00, 1.07757e+00, 1.53815e-04, 1.49860e-03
1.12888e+00, 1.24179e+00, 1.18534e+00, 6.66591e-06, 5.90410e-05
1.24179e+00, 1.36598e+00, 1.30388e+00, 1.36767e-07, 1.10125e-06
1.36598e+00, 1.50259e+00, 1.43429e+00, 1.04055e-09, 7.61679e-09
1.50259e+00, 1.65287e+00, 1.57773e+00, 0.00000e+00, 0.00000e+00
1.65287e+00, 1.81817e+00, 1.73552e+00, 0.00000e+00, 0.00000e+00
1.81817e+00, 2.00000e+00, 1.90908e+00, 0.00000e+00, 0.00000e+00
